Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,2.0474,0.741905,252
2,INDUSINDBK,2.0004,0.853083,252
3,JINDALSTEL,1.9509,0.764239,252
4,CHOLAFIN,1.9098,0.71052,252
5,BANDHANBNK,1.8842,0.842582,252
6,IBULHSGFIN,1.8487,1.119295,252
7,LTF,1.8177,0.621613,252
8,SHRIRAMFIN,1.8044,0.742295,252
9,AXISBANK,1.7518,0.597178,252
10,M&MFIN,1.7415,0.651594,252
11,RBLBANK,1.7096,0.793987,252
12,BAJFINANCE,1.7058,0.604419,252
13,SAIL,1.6964,0.615221,252
14,FEDERALBNK,1.6784,0.558197,252
15,MOTHERSON,1.6774,0.683669,252
16,TMPV,1.6241,0.674568,252
17,MANAPPURAM,1.622,0.634328,252
18,ASHOKLEY,1.6107,0.666365,252
19,BAJAJFINSV,1.5953,0.542761,252
20,CANBK,1.572,0.555155,252
