Rank,Symbol,Beta,AnnualVolatility,Observations
1,ESSAROIL,2.2326,1.021843,252
2,CHAMBLFERT,2.0884,0.875298,252
3,PENINLAND,2.0608,0.838874,252
4,RNRL,2.0599,0.907146,252
5,NLCINDIA,2.045,0.826135,252
6,STLTECH,1.9619,0.79812,252
7,LITL,1.9553,0.828929,252
8,JPPOWER,1.9047,0.781488,252
9,IFCI,1.8545,0.811014,252
10,MRPL,1.8361,0.79494,252
11,ANSALAPI,1.7752,0.797827,252
12,RELCAPITAL,1.7449,0.687508,252
13,PARSVNATH,1.7448,0.644882,252
14,JINDALSTEL,1.7431,0.794917,252
15,IDBI,1.7378,0.619685,252
16,RELINFRA,1.7291,0.698014,252
17,TTML,1.7082,0.663033,252
18,BAJAJHIND,1.7011,0.869885,252
19,INDUSINDBK,1.6994,0.704846,252
20,UNITECH,1.6433,0.690142,252
