Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,1.8764,0.430275,252
2,LODHA,1.8049,0.55205,252
3,GODREJPROP,1.7951,0.461595,252
4,TATAPOWER,1.7907,0.476017,252
5,TMPV,1.7896,0.453893,252
6,BHEL,1.7489,0.44382,252
7,NATIONALUM,1.7111,0.5321,252
8,SAIL,1.708,0.438946,252
9,IDFCFIRSTB,1.6341,0.381066,252
10,IDEA,1.6162,0.769005,252
11,CANBK,1.6141,0.426128,252
12,IRCTC,1.6082,0.508011,252
13,JINDALSTEL,1.6061,0.472108,252
14,LTF,1.6006,0.414664,252
15,VEDL,1.5952,0.557477,252
16,ABFRL,1.5594,0.404859,252
17,OBEROIRLTY,1.5578,0.46317,252
18,GMRAIRPORT,1.5472,0.434687,252
19,UNIONBANK,1.5456,0.447902,252
20,IEX,1.537,0.467231,252
