Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIPOWER,2.3211,0.679444,252
2,RELCAPITAL,2.3154,0.795554,252
3,IBULHSGFIN,2.2758,0.702143,252
4,DHFL,2.2606,1.102348,252
5,RPOWER,2.1986,0.939409,252
6,YESBANK,2.1931,0.865749,252
7,RELINFRA,2.187,0.912925,252
8,EDELWEISS,2.1764,0.627155,252
9,DHANI,2.1691,0.685102,252
10,JINDALSTEL,2.0388,0.549885,252
11,DISHTV,2.0125,0.784076,252
12,BANKINDIA,2.0097,0.463015,252
13,UNIONBANK,1.9977,0.488674,252
14,ESCORTS,1.968,0.455305,252
15,NBCC,1.9609,0.525147,252
16,CANBK,1.8597,0.442342,252
17,LTF,1.8548,0.433362,252
18,SAIL,1.8318,0.44638,252
19,M&MFIN,1.8153,0.436499,252
20,INDIANB,1.7987,0.507903,252
