Rank,Symbol,Beta,AnnualVolatility,Observations
1,RCOM,2.7592,0.887239,252
2,GMRAIRPORT,2.7281,0.543493,252
3,ADANIPOWER,2.3497,0.479677,252
4,JINDALSTEL,2.3419,0.485121,252
5,DLF,2.3188,0.434388,252
6,PNB,2.2315,0.595603,252
7,BANKINDIA,2.1956,0.520224,252
8,SYNDIBANK,2.1729,0.424919,252
9,UNIONBANK,2.124,0.5085,252
10,INDIANB,2.1079,0.443432,252
11,TV18BRDCST,2.0372,0.413685,252
12,RELINFRA,2.0363,0.363442,252
13,SAIL,2.0295,0.38804,252
14,RPOWER,1.9767,0.412629,252
15,MANAPPURAM,1.9378,0.419033,252
16,DHFL,1.911,0.354363,252
17,CANBK,1.8828,0.494779,252
18,IDBI,1.8739,0.400849,252
19,JMFINANCIL,1.8415,0.422114,252
20,SUZLON,1.7435,0.382865,252
