Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.4439,0.498905,252
2,MANAPPURAM,2.1707,0.490094,252
3,JINDALSTEL,2.1471,0.472416,252
4,GMRAIRPORT,2.1344,0.476461,252
5,BHARATFIN,2.0411,0.465676,252
6,RCOM,2.037,0.516955,252
7,INDIANB,2.0359,0.466704,252
8,RELINFRA,2.0132,0.371856,252
9,DHFL,1.9934,0.380578,252
10,RELCAPITAL,1.9342,0.394069,252
11,ADANIPOWER,1.8884,0.481005,252
12,LTF,1.8562,0.357168,252
13,EDELWEISS,1.8429,0.46488,252
14,TV18BRDCST,1.8326,0.388574,252
15,PNB,1.8022,0.382045,252
16,SUNTV,1.7918,0.464535,252
17,UNIONBANK,1.7733,0.403503,252
18,CENTURYTEX,1.7624,0.365768,252
19,SYNDIBANK,1.7573,0.358288,252
20,BANKINDIA,1.7505,0.406393,252
