Rank,Symbol,Beta,AnnualVolatility,Observations
1,HDIL,3.0894,0.611151,252
2,FEL,2.9092,0.597678,252
3,RCOM,2.5992,0.466674,252
4,LITL,2.5777,0.507291,252
5,UNITECH,2.5529,0.55629,252
6,IFCI,2.4717,0.481101,252
7,RELCAPITAL,2.4057,0.407486,252
8,RELINFRA,2.3781,0.396744,252
9,JPASSOCIAT,2.364,0.436071,252
10,RPOWER,2.3579,0.386284,252
11,RTNPOWER,2.3355,0.531838,252
12,GMRAIRPORT,2.2226,0.489814,252
13,SUZLON,2.212,0.636258,252
14,UCOBANK,2.1788,0.364238,252
15,ADANIPOWER,2.0835,0.408752,252
16,JSWENERGY,2.0681,0.402995,252
17,IRB,2.0607,0.493775,252
18,ORIENTBANK,2.0138,0.410469,252
19,STLTECH,1.9554,0.412519,252
20,ESSAROIL,1.9371,0.508842,252
