Rank,Symbol,Beta,AnnualVolatility,Observations
1,ESSAROIL,2.1325,0.568588,252
2,GUJNRECOKE,2.0162,0.573421,252
3,BANKINDIA,1.8981,0.508775,252
4,HMT,1.884,0.830071,252
5,TITAN,1.848,0.533042,252
6,PRSMJOHNSN,1.8357,0.543042,252
7,BANKBARODA,1.8162,0.424084,252
8,HINDPETRO,1.7254,0.509615,252
9,BBTC,1.7229,0.716919,252
10,KTKBANK,1.7139,0.652815,252
11,UCOBANK,1.7083,0.486836,252
12,IFCI,1.6576,0.539174,252
13,VIJAYABANK,1.6432,0.416013,252
14,SYNDIBANK,1.6403,0.473727,252
15,INDIACEM,1.6398,0.50917,252
16,ANDHRABANK,1.6094,0.42154,252
17,IDBI,1.6093,0.617167,252
18,UNITDSPR,1.6078,0.629956,252
19,FLEX,1.5902,0.556563,252
20,INDUSINDBK,1.5583,0.446724,252
