Rank,Symbol,Beta,AnnualVolatility,Observations
1,POONAWALLA,1.891,0.487837,252
2,BHEL,1.7969,0.419637,252
3,ADANIPORTS,1.7947,0.456688,252
4,CANBK,1.7604,0.397443,252
5,JSWENERGY,1.7577,0.494466,252
6,LTF,1.7346,0.417513,252
7,ETERNAL,1.7295,0.627127,252
8,IDFCFIRSTB,1.7007,0.383075,252
9,DLF,1.6964,0.351312,252
10,GODREJPROP,1.6651,0.363097,252
11,SAIL,1.6631,0.391849,252
12,VEDL,1.6574,0.484513,252
13,PNB,1.644,0.419328,252
14,ATGL,1.6436,0.626887,252
15,BANKINDIA,1.6183,0.43577,252
16,UNIONBANK,1.6115,0.463183,252
17,GMRAIRPORT,1.6004,0.356872,252
18,BANKBARODA,1.5824,0.399657,252
19,TMPV,1.5425,0.351852,252
20,ADANIENSOL,1.54,0.580699,252
