Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,2.0744,1.182797,252
2,INDIABULLS,1.9616,0.792356,252
3,SRF,1.9205,0.688792,252
4,INDIACEM,1.8723,0.672294,252
5,ESSAROIL,1.8658,0.730304,252
6,JSL,1.8566,0.657544,252
7,CENTURYTEX,1.842,0.612696,252
8,INDUSINDBK,1.787,0.592186,252
9,ESTL,1.763,0.607653,252
10,HMT,1.7585,0.839439,252
11,RELCAPITAL,1.7383,0.599172,252
12,STLTECH,1.6382,0.699322,252
13,TATACOMM,1.5925,0.607595,252
14,IVRCLINFRA,1.567,0.548125,252
15,GVPIL,1.5519,0.552517,252
16,SAIL,1.5304,0.577959,252
17,ROLTA,1.5258,0.594061,252
18,GUJNRECOKE,1.5204,0.575805,252
19,HINDPETRO,1.5071,0.694188,252
20,POLARIS,1.4971,0.534128,252
