Rank,Symbol,Beta,AnnualVolatility,Observations
1,RECLTD,2.1626,0.504138,252
2,HUDCO,2.1603,0.552842,252
3,PFC,2.1322,0.493438,252
4,BHEL,2.0473,0.476118,252
5,NIACL,2.0336,0.502089,252
6,MAZDOCK,2.0286,0.654257,252
7,IDEA,1.9949,0.606111,252
8,SAIL,1.9653,0.460782,252
9,RVNL,1.9303,0.607656,252
10,IRB,1.9206,0.471178,252
11,SJVN,1.8936,0.463993,252
12,COCHINSHIP,1.8754,0.598445,252
13,IOB,1.863,0.480466,252
14,FACT,1.8301,0.561617,252
15,BEL,1.8218,0.404566,252
16,IDBI,1.8021,0.46575,252
17,HAL,1.7853,0.423471,252
18,ADANIENSOL,1.7259,0.571724,252
19,IRFC,1.7074,0.448967,252
20,IREDA,1.7025,0.532575,252
