Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIPORTS,2.2287,0.448225,252
2,AMBUJACEM,2.1013,0.441563,252
3,JSWENERGY,2.0569,0.444013,252
4,UNIONBANK,2.0018,0.444122,252
5,ADANIENSOL,2.0001,0.576154,252
6,AWL,1.988,0.453563,252
7,GICRE,1.9607,0.49171,252
8,ETERNAL,1.9602,0.459636,252
9,BANKINDIA,1.9217,0.431481,252
10,LTF,1.8757,0.310848,252
11,PNB,1.874,0.368948,252
12,ACC,1.8681,0.326775,252
13,CANBK,1.8611,0.325537,252
14,ADANIPOWER,1.7915,0.480375,252
15,BHEL,1.7879,0.374263,252
16,M&MFIN,1.7787,0.372775,252
17,NIACL,1.7496,0.446959,252
18,IDFCFIRSTB,1.7207,0.30463,252
19,BANKBARODA,1.701,0.337641,252
20,ATGL,1.6962,0.567398,252
