Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.4513,0.493818,252
2,MANAPPURAM,2.2455,0.491643,252
3,JINDALSTEL,2.2352,0.478007,252
4,GMRAIRPORT,2.0685,0.466088,252
5,DHFL,2.0418,0.394937,252
6,RCOM,2.0326,0.52097,252
7,INDIANB,1.9891,0.459969,252
8,ADANIPOWER,1.9551,0.487467,252
9,RELINFRA,1.9414,0.361425,252
10,BHARATFIN,1.9129,0.452132,252
11,LTF,1.8819,0.359267,252
12,EDELWEISS,1.8644,0.469512,252
13,TV18BRDCST,1.8262,0.376899,252
14,SUNTV,1.7714,0.460357,252
15,CENTURYTEX,1.7465,0.356841,252
16,PNB,1.698,0.37031,252
17,BANKINDIA,1.6797,0.399296,252
18,SYNDIBANK,1.6782,0.351379,252
19,TATACONSUM,1.6752,0.339803,252
20,UNIONBANK,1.6716,0.394431,252
