Rank,Symbol,Beta,AnnualVolatility,Observations
1,HDIL,2.1181,0.451189,252
2,UNITECH,2.0404,0.445783,252
3,JSWSTEEL,1.9772,0.447862,252
4,HINDALCO,1.9357,0.434274,252
5,EMBDL,1.919,0.489647,252
6,VEDL,1.9081,0.508799,252
7,DLF,1.8261,0.395654,252
8,ABAN,1.7898,0.473234,252
9,JPASSOCIAT,1.786,0.389189,252
10,GUJNRECOKE,1.7582,0.492702,252
11,INDIABULLS,1.7371,0.500286,252
12,TATASTEEL,1.6958,0.379379,252
13,JINDALSAW,1.6923,0.36734,252
14,JSWISPAT,1.6765,0.399862,252
15,CENTURYTEX,1.6614,0.358795,252
16,HMT,1.6614,0.563468,252
17,HCC,1.6544,0.38713,252
18,LITL,1.6515,0.43476,252
19,VIJAYABANK,1.6381,0.372302,252
20,HINDOILEXP,1.6349,0.496105,252
