Rank,Symbol,Beta,AnnualVolatility,Observations
1,RCOM,2.8364,0.910179,252
2,GMRAIRPORT,2.666,0.541435,252
3,ADANIPOWER,2.4138,0.492819,252
4,JINDALSTEL,2.4005,0.480521,252
5,PNB,2.2223,0.631484,252
6,RELCAPITAL,2.214,0.450307,252
7,SYNDIBANK,2.2097,0.455355,252
8,INDIANB,2.1706,0.463259,252
9,BANKINDIA,2.1531,0.539388,252
10,SAIL,2.1128,0.422128,252
11,RPOWER,2.0957,0.436107,252
12,RELINFRA,2.0936,0.383056,252
13,DLF,2.085,0.425405,252
14,UNIONBANK,2.063,0.512983,252
15,TV18BRDCST,1.9924,0.419869,252
16,IDBI,1.9034,0.487049,252
17,CANBK,1.9026,0.525376,252
18,SUZLON,1.883,0.375234,252
19,DHFL,1.8583,0.362637,252
20,JMFINANCIL,1.8234,0.443482,252
