Rank,Symbol,Beta,AnnualVolatility,Observations
1,IVRCLINFRA,2.3088,0.566377,252
2,PUNJLLOYD,2.1825,0.527392,252
3,HDIL,2.1241,0.536396,252
4,HINDOILEXP,2.0939,0.523675,252
5,JPASSOCIAT,2.0592,0.49843,252
6,JAICORPLTD,1.9632,0.575552,252
7,BGRENERGY,1.9612,0.528537,252
8,RENUKA,1.901,0.526578,252
9,ABAN,1.8104,0.436056,252
10,UNITECH,1.8017,0.511761,252
11,IFCI,1.7941,0.436164,252
12,STLTECH,1.77,0.514505,252
13,SUZLON,1.7683,0.489714,252
14,HCC,1.7539,0.469935,252
15,RCOM,1.7513,0.510183,252
16,RELCAPITAL,1.6858,0.466483,252
17,JETAIRWAYS,1.6711,0.501935,252
18,CENTURYTEX,1.6673,0.391058,252
19,FEL,1.6323,0.483155,252
20,NCC,1.6286,0.453562,252
