Rank,Symbol,Beta,AnnualVolatility,Observations
1,IBULHSGFIN,2.1567,0.535847,252
2,BHEL,2.0567,0.530463,252
3,DLF,2.0089,0.448259,252
4,RBLBANK,1.9958,0.435476,252
5,ASHOKLEY,1.9388,0.446885,252
6,LTF,1.9336,0.417457,252
7,FEDERALBNK,1.9323,0.401687,252
8,TMPV,1.9319,0.479379,252
9,APOLLOTYRE,1.9008,0.453449,252
10,M&MFIN,1.8919,0.451924,252
11,CANBK,1.8608,0.468169,252
12,JINDALSTEL,1.8542,0.483241,252
13,TATAPOWER,1.8254,0.409761,252
14,IDEA,1.8086,0.731791,252
15,INDUSINDBK,1.8065,0.46617,252
16,BANKBARODA,1.8016,0.487518,252
17,IDFCFIRSTB,1.7562,0.434498,252
18,SAIL,1.7556,0.546218,252
19,PEL,1.7478,0.429991,252
20,CHOLAFIN,1.7206,0.45873,252
