Rank,Symbol,Beta,AnnualVolatility,Observations
1,HDIL,2.0552,0.477804,252
2,EMBDL,2.0261,0.471793,252
3,IVRCLINFRA,1.972,0.449812,252
4,HINDOILEXP,1.9643,0.508449,252
5,UNITECH,1.927,0.48406,252
6,JPASSOCIAT,1.9071,0.426874,252
7,PUNJLLOYD,1.8358,0.443043,252
8,HCC,1.8254,0.44947,252
9,JAICORPLTD,1.8156,0.531753,252
10,JSWSTEEL,1.807,0.4295,252
11,ABAN,1.7807,0.454467,252
12,CENTURYTEX,1.7553,0.355915,252
13,DCHL,1.701,0.485002,252
14,IFCI,1.6771,0.414343,252
15,BGRENERGY,1.6728,0.471858,252
16,IIFL,1.6723,0.461729,252
17,RENUKA,1.654,0.471658,252
18,NCC,1.5918,0.389906,252
19,RELINFRA,1.5823,0.443015,252
20,GODREJIND,1.5785,0.398356,252
