Rank,Symbol,Beta,AnnualVolatility,Observations
1,IRFC,2.3368,0.58266,252
2,RVNL,2.3036,0.620912,252
3,GICRE,2.2193,0.526436,252
4,IDEA,2.1923,0.547536,252
5,MAHABANK,2.1419,0.423424,252
6,ZEEL,2.0921,0.589078,252
7,NIACL,2.0737,0.541292,252
8,RECLTD,2.0093,0.395431,252
9,SAIL,1.9909,0.349478,252
10,ADANIPOWER,1.9834,0.483731,252
11,BHEL,1.95,0.415239,252
12,PFC,1.9218,0.39458,252
13,NHPC,1.8763,0.399791,252
14,PEL,1.8469,0.351046,252
15,FACT,1.8427,0.62923,252
16,PNB,1.8273,0.332733,252
17,LTF,1.7451,0.302685,252
18,JSWENERGY,1.7448,0.452506,252
19,BANKINDIA,1.7441,0.393615,252
20,ABCAPITAL,1.7259,0.303883,252
