Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,3.129,0.717409,252
2,DLF,2.3238,0.501693,252
3,JINDALSTEL,2.2674,0.560343,252
4,JUBLPHARMA,2.1366,0.58889,252
5,RELCAPITAL,1.9434,0.389296,252
6,BHARATFIN,1.9312,0.48487,252
7,DHFL,1.9131,0.414013,252
8,EDELWEISS,1.8858,0.501316,252
9,RELINFRA,1.8852,0.406738,252
10,HINDALCO,1.854,0.456828,252
11,TV18BRDCST,1.7921,0.409116,252
12,GMRAIRPORT,1.7703,0.398827,252
13,ABIRLANUVO,1.7697,0.691961,252
14,CENTURYTEX,1.7689,0.395765,252
15,ADANIPOWER,1.7506,0.41896,252
16,UNIONBANK,1.7376,0.444787,252
17,INDIANB,1.7169,0.549872,252
18,PNB,1.6812,0.441191,252
19,JETAIRWAYS,1.679,0.430932,252
20,MOTHERSON,1.6756,0.409676,252
