Rank,Symbol,Beta,AnnualVolatility,Observations
1,RVNL,1.9055,0.466007,252
2,MOTILALOFS,1.8619,0.51012,252
3,HUDCO,1.8099,0.42819,252
4,SIEMENS,1.7172,0.545788,252
5,NIACL,1.7119,0.443341,252
6,RECLTD,1.7095,0.364649,252
7,IREDA,1.6843,0.422793,252
8,IRB,1.6822,0.362514,252
9,BHEL,1.679,0.375851,252
10,IDEA,1.6667,0.563608,252
11,BSE,1.6324,0.615147,252
12,SJVN,1.6197,0.372876,252
13,NAM-INDIA,1.6112,0.413246,252
14,PFC,1.6092,0.363683,252
15,COCHINSHIP,1.6012,0.480276,252
16,MAZDOCK,1.5938,0.504567,252
17,LLOYDSME,1.5923,0.428032,252
18,ADANIENSOL,1.5902,0.501099,252
19,ADANIGREEN,1.5888,0.535251,252
20,GODREJPROP,1.5637,0.384484,252
