Rank,Symbol,Beta,AnnualVolatility,Observations
1,HINDPETRO,3.9503,1.138772,252
2,HDIL,3.0324,0.692982,252
3,JPASSOCIAT,2.6107,0.570777,252
4,UNITECH,2.5924,0.637811,252
5,RCOM,2.3076,0.599358,252
6,UNIONBANK,2.2861,0.507398,252
7,JPPOWER,2.2617,0.692819,252
8,63MOONS,2.2306,1.014819,252
9,RTNPOWER,2.1423,0.530442,252
10,ORIENTBANK,2.1279,0.494959,252
11,YESBANK,2.1183,0.558696,252
12,UCOBANK,2.1009,0.474615,252
13,RELCAPITAL,2.0743,0.426426,252
14,IFCI,2.0732,0.49164,252
15,RELINFRA,2.0668,0.446217,252
16,BANKINDIA,2.0501,0.443574,252
17,DENABANK,2.0245,0.417642,252
18,DLF,1.9996,0.499053,252
19,CENTURYTEX,1.962,0.406535,252
20,IRB,1.9486,0.574207,252
