Rank,Symbol,Beta,AnnualVolatility,Observations
1,HDIL,2.661,0.618977,252
2,LITL,2.6496,0.646065,252
3,SINTEX,2.3029,0.557326,252
4,FEL,2.2733,0.73212,252
5,IFCI,2.2557,0.571872,252
6,GVKPIL,2.2479,0.567336,252
7,JPASSOCIAT,2.2152,0.512341,252
8,GMRAIRPORT,2.1931,0.564646,252
9,UNITECH,2.1663,0.536697,252
10,RELCAPITAL,2.1504,0.514452,252
11,RENUKA,2.0841,0.582541,252
12,JSWSTEEL,2.0424,0.493224,252
13,STLTECH,2.031,0.506082,252
14,IRB,2.0291,0.559284,252
15,UCOBANK,2.0099,0.440696,252
16,SUZLON,1.9846,0.531706,252
17,RCOM,1.9482,0.467141,252
18,RELINFRA,1.9308,0.474386,252
19,VOLTAS,1.9234,0.567485,252
20,CENTURYTEX,1.9072,0.445029,252
