Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.347,0.465683,252
2,BHARATFIN,2.1998,0.496546,252
3,EDELWEISS,2.1617,0.500103,252
4,MANAPPURAM,2.1241,0.480268,252
5,RELINFRA,2.0387,0.373241,252
6,INDIANB,2.0101,0.532649,252
7,RELCAPITAL,1.9969,0.371043,252
8,JINDALSTEL,1.9915,0.484898,252
9,GMRAIRPORT,1.988,0.442576,252
10,TV18BRDCST,1.9272,0.391534,252
11,MOTILALOFS,1.9258,0.445913,252
12,DHFL,1.9252,0.367087,252
13,RCOM,1.9085,0.474477,252
14,VEDL,1.8928,0.455912,252
15,CENTURYTEX,1.8441,0.369206,252
16,SUNTV,1.8094,0.454095,252
17,LTF,1.7909,0.349118,252
18,BANKINDIA,1.7834,0.406685,252
19,PNB,1.7491,0.398502,252
20,JUBLPHARMA,1.7203,0.469396,252
