Rank,Symbol,Beta,AnnualVolatility,Observations
1,IFCI,2.016,0.817718,252
2,INDUSINDBK,1.9817,0.668186,252
3,IDBI,1.975,0.555199,252
4,BANKINDIA,1.8417,0.590577,252
5,MPHASIS,1.8223,2.216698,252
6,HINDPETRO,1.7807,0.888569,252
7,PARSVNATH,1.7681,0.537122,252
8,RELCAPITAL,1.7468,0.558564,252
9,IDFC,1.7333,0.536505,252
10,NCC,1.7204,0.559784,252
11,LITL,1.7008,0.648384,252
12,IVRCLINFRA,1.6984,0.540427,252
13,RCF,1.693,0.627904,252
14,HCC,1.6835,0.553535,252
15,ESSAROIL,1.6646,0.808865,252
16,PUNJLLOYD,1.6457,0.503386,252
17,UNITECH,1.6202,0.602838,252
18,GMRAIRPORT,1.6164,0.539648,252
19,INDIACEM,1.6143,0.513046,252
20,UNIONBANK,1.5853,0.504457,252
