Rank,Symbol,Beta,AnnualVolatility,Observations
1,JPASSOCIAT,2.133,0.968639,252
2,HDIL,2.0937,1.034662,252
3,EMBDL,1.9516,1.070672,252
4,IIFL,1.9387,0.997999,252
5,RELINFRA,1.9312,0.882481,252
6,IVRCLINFRA,1.9191,0.964376,252
7,UNITECH,1.9047,1.090758,252
8,LITL,1.8454,0.939407,252
9,RELCAPITAL,1.8297,0.854012,252
10,IFCI,1.8134,0.848121,252
11,DLF,1.7933,0.882737,252
12,SUZLON,1.7712,0.929641,252
13,RNRL,1.7399,0.847336,252
14,HINDPETRO,1.7324,1.497849,252
15,CHAMBLFERT,1.7037,0.898562,252
16,STLTECH,1.6849,0.875134,252
17,IDFC,1.6816,0.822187,252
18,HCC,1.6465,0.821079,252
19,NCC,1.6356,0.838538,252
20,YESBANK,1.6234,0.78662,252
