Rank,Symbol,Beta,AnnualVolatility,Observations
1,HINDPETRO,3.3098,0.967452,252
2,UNITECH,3.0515,0.669839,252
3,UNIONBANK,2.6516,0.526779,252
4,JPASSOCIAT,2.6475,0.598889,252
5,JPPOWER,2.5853,0.643252,252
6,EMBDL,2.5346,0.568602,252
7,JPINFRATEC,2.5113,0.607412,252
8,ORIENTBANK,2.4995,0.53741,252
9,BANKINDIA,2.4848,0.531056,252
10,CANBK,2.4144,0.484437,252
11,SYNDIBANK,2.314,0.488973,252
12,PFC,2.2818,0.507442,252
13,UCOBANK,2.2402,0.463371,252
14,DLF,2.2374,0.499133,252
15,IFCI,2.217,0.462869,252
16,ALBK,2.183,0.459093,252
17,IRB,2.1814,0.534613,252
18,RELCAPITAL,2.1689,0.41896,252
19,ANDHRABANK,2.0919,0.427094,252
20,INDIANB,2.0785,0.536408,252
