Rank,Symbol,Beta,AnnualVolatility,Observations
1,IIFL,1.8029,1.097612,252
2,HDIL,1.7548,1.126503,252
3,UNITECH,1.712,1.195883,252
4,JPASSOCIAT,1.7105,1.00118,252
5,IVRCLINFRA,1.7091,1.077954,252
6,EMBDL,1.6796,1.145163,252
7,LITL,1.6785,1.037789,252
8,RELCAPITAL,1.5701,0.922679,252
9,RELINFRA,1.5611,0.931893,252
10,SUZLON,1.5589,1.029959,252
11,DLF,1.542,0.973922,252
12,HCC,1.5177,0.940741,252
13,IFCI,1.5049,0.917421,252
14,IDFC,1.4736,0.898668,252
15,NCC,1.4602,0.922703,252
16,YESBANK,1.4036,0.819079,252
17,TATASTEEL,1.4032,0.847954,252
18,RNRL,1.3925,0.92152,252
19,RCOM,1.3804,0.881746,252
20,PUNJLLOYD,1.3791,0.851702,252
