Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIGREEN,1.9402,0.425562,252
2,MOTILALOFS,1.7978,0.415275,252
3,GODREJPROP,1.7522,0.356853,252
4,BSE,1.7456,0.508538,252
5,LLOYDSME,1.7403,0.398889,252
6,IREDA,1.7132,0.344531,252
7,SIEMENS,1.7042,0.513398,252
8,ADANIENSOL,1.6744,0.36966,252
9,LODHA,1.6683,0.351719,252
10,RVNL,1.6614,0.383675,252
11,IDEA,1.6447,0.544036,252
12,HUDCO,1.6314,0.346474,252
13,BHEL,1.5894,0.339249,252
14,RECLTD,1.548,0.291086,252
15,MAZDOCK,1.543,0.414197,252
16,DLF,1.5317,0.292054,252
17,NATIONALUM,1.5229,0.399221,252
18,NAM-INDIA,1.507,0.365264,252
19,APARINDS,1.5055,0.470543,252
20,MOTHERSON,1.5009,0.323745,252
