Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.3087,0.476193,252
2,JINDALSTEL,2.2291,0.475432,252
3,MANAPPURAM,2.218,0.476943,252
4,JMFINANCIL,2.2024,0.488927,252
5,INDIANB,2.036,0.489379,252
6,GMRAIRPORT,1.9847,0.463255,252
7,PNB,1.9799,0.596043,252
8,ADANIPOWER,1.9416,0.485413,252
9,DHFL,1.9402,0.388637,252
10,BHARATFIN,1.851,0.446611,252
11,SYNDIBANK,1.8491,0.40903,252
12,UNIONBANK,1.8189,0.518109,252
13,RCOM,1.8173,0.521583,252
14,BANKINDIA,1.8056,0.520798,252
15,RELINFRA,1.7742,0.342037,252
16,CENTURYTEX,1.7482,0.352608,252
17,LTF,1.7418,0.346275,252
18,SUNTV,1.6895,0.446759,252
19,EDELWEISS,1.6777,0.460699,252
20,TV18BRDCST,1.6501,0.349689,252
