Rank,Symbol,Beta,AnnualVolatility,Observations
1,HDIL,2.4677,0.618767,252
2,JAICORPLTD,2.315,0.59815,252
3,BGRENERGY,2.2463,0.559057,252
4,LITL,2.186,0.639385,252
5,HINDOILEXP,2.1618,0.542566,252
6,RENUKA,2.119,0.616247,252
7,JPASSOCIAT,2.1048,0.527444,252
8,UNITECH,2.0212,0.544422,252
9,SUZLON,1.9852,0.555615,252
10,STLTECH,1.9657,0.525206,252
11,IFCI,1.9639,0.527248,252
12,RELCAPITAL,1.9496,0.518889,252
13,SINTEX,1.9295,0.559158,252
14,RCOM,1.9293,0.526087,252
15,JSWSTEEL,1.8218,0.513252,252
16,GVKPIL,1.8041,0.502011,252
17,UCOBANK,1.8026,0.43998,252
18,IRB,1.7988,0.536277,252
19,JSWISPAT,1.7902,0.455599,252
20,MTNL,1.7651,0.48513,252
