Rank,Symbol,Beta,AnnualVolatility,Observations
1,HINDPETRO,2.367,1.39236,252
2,ESSAROIL,2.1586,1.101491,252
3,CHAMBLFERT,2.1572,1.0044,252
4,RNRL,2.0977,0.994423,252
5,HDIL,1.9918,0.869669,252
6,JSWISPAT,1.9285,0.904455,252
7,NLCINDIA,1.9229,0.851094,252
8,PENINLAND,1.9155,0.855606,252
9,JPPOWER,1.9109,0.827447,252
10,IFCI,1.9107,0.881946,252
11,RELINFRA,1.8737,0.812894,252
12,LITL,1.8539,0.87021,252
13,RELCAPITAL,1.8477,0.811098,252
14,STLTECH,1.837,0.846173,252
15,ANSALAPI,1.7819,0.871214,252
16,JINDALSTEL,1.7773,0.875766,252
17,OMAXE,1.7601,0.79402,252
18,MRPL,1.7369,0.874059,252
19,JPASSOCIAT,1.7063,0.781965,252
20,BAJAJHIND,1.6806,0.931761,252
