Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIPORTS,2.1531,0.446958,252
2,ETERNAL,2.0886,0.5398,252
3,JSWENERGY,2.0789,0.454872,252
4,UNIONBANK,1.9688,0.438294,252
5,AMBUJACEM,1.9309,0.434491,252
6,CANBK,1.9185,0.34373,252
7,AWL,1.9147,0.461853,252
8,ADANIENSOL,1.8939,0.596467,252
9,BANKINDIA,1.8938,0.432039,252
10,LTF,1.8786,0.309308,252
11,GICRE,1.8379,0.4876,252
12,PNB,1.8355,0.368699,252
13,IDFCFIRSTB,1.8125,0.330728,252
14,BHEL,1.7498,0.365662,252
15,ATGL,1.7336,0.583573,252
16,ACC,1.7297,0.31871,252
17,M&MFIN,1.7049,0.378564,252
18,GODREJPROP,1.6988,0.309079,252
19,POONAWALLA,1.6946,0.362635,252
20,ADANIPOWER,1.6931,0.479867,252
