Rank,Symbol,Beta,AnnualVolatility,Observations
1,IVRCLINFRA,0.7499,0.515173,252
2,IFCI,0.7181,0.79744,252
3,CENTURYTEX,0.6931,0.486133,252
4,JPASSOCIAT,0.6901,0.478503,252
5,HINDPETRO,0.6881,0.778901,252
6,HCC,0.6856,0.533268,252
7,IDBI,0.6819,0.501333,252
8,STLTECH,0.6254,0.465901,252
9,UNITECH,0.6236,0.584737,252
10,INDUSINDBK,0.6169,0.572035,252
11,BANKINDIA,0.5981,0.484116,252
12,VOLTAS,0.5975,0.485906,252
13,RELCAPITAL,0.5941,0.455846,252
14,MOSERBAER,0.5923,0.521587,252
15,JSWSTEEL,0.5582,0.430666,252
16,PUNJLLOYD,0.5581,0.444455,252
17,GMRAIRPORT,0.5504,0.510306,252
18,INDIACEM,0.55,0.468588,252
19,CANBK,0.5495,0.447241,252
20,IDFC,0.5475,0.48263,252
