Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,3.6393,0.77438,252
2,JINDALSTEL,2.5064,0.602934,252
3,DLF,2.254,0.465881,252
4,JUBLPHARMA,2.0308,0.573565,252
5,HINDALCO,2.0264,0.458249,252
6,RELCAPITAL,1.9801,0.399371,252
7,GMRAIRPORT,1.956,0.473261,252
8,UNIONBANK,1.9341,0.431452,252
9,TV18BRDCST,1.9286,0.450684,252
10,ADANIPOWER,1.8829,0.432084,252
11,ALBK,1.866,0.414946,252
12,DHFL,1.8418,0.368903,252
13,RCOM,1.8418,0.452134,252
14,RELINFRA,1.8336,0.415777,252
15,UCOBANK,1.8275,0.405956,252
16,SAIL,1.7707,0.395448,252
17,BANKINDIA,1.7565,0.373175,252
18,BANKBARODA,1.7525,0.440378,252
19,JSWENERGY,1.7185,0.412182,252
20,IDBI,1.7062,0.426435,252
