Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,3.3209,0.745317,252
2,DLF,2.3171,0.505253,252
3,JINDALSTEL,2.3089,0.591878,252
4,JUBLPHARMA,2.0049,0.572992,252
5,RELCAPITAL,1.9814,0.410178,252
6,RELINFRA,1.9075,0.436664,252
7,GMRAIRPORT,1.9074,0.482397,252
8,DHFL,1.8804,0.406893,252
9,TV18BRDCST,1.8646,0.456355,252
10,HINDALCO,1.8463,0.452572,252
11,ADANIPOWER,1.7846,0.419179,252
12,CENTURYTEX,1.7557,0.393344,252
13,UNIONBANK,1.7488,0.449712,252
14,ABIRLANUVO,1.7464,0.699586,252
15,RCOM,1.746,0.444759,252
16,EDELWEISS,1.7156,0.468432,252
17,BHARATFIN,1.6955,0.432181,252
18,SAIL,1.695,0.402837,252
19,JETAIRWAYS,1.6863,0.474571,252
20,JSWENERGY,1.685,0.404259,252
