Rank,Symbol,Beta,AnnualVolatility,Observations
1,IDBI,2.0531,0.504081,252
2,INDUSINDBK,1.9707,0.571728,252
3,CENTURYTEX,1.9426,0.482234,252
4,HCC,1.9242,0.511617,252
5,IVRCLINFRA,1.8476,0.514329,252
6,BANKINDIA,1.8451,0.485303,252
7,NCC,1.799,0.499116,252
8,HINDPETRO,1.7953,0.766696,252
9,IDFC,1.7897,0.474079,252
10,RELCAPITAL,1.7475,0.43013,252
11,CANBK,1.7222,0.4497,252
12,RCF,1.7002,0.54296,252
13,UNITECH,1.6979,0.584766,252
14,GMRAIRPORT,1.6923,0.506172,252
15,INDIACEM,1.6907,0.467215,252
16,PUNJLLOYD,1.6696,0.445387,252
17,SRF,1.6506,0.460078,252
18,BANKBARODA,1.5963,0.427548,252
19,PENINLAND,1.5898,0.573417,252
20,POLARIS,1.5861,0.501141,252
