Rank,Symbol,Beta,AnnualVolatility,Observations
1,JINDALSTEL,2.4971,0.496387,252
2,ADANIPOWER,2.4742,0.474705,252
3,GMRAIRPORT,2.435,0.502046,252
4,SAIL,2.2138,0.453911,252
5,EMBDL,2.1842,0.499122,252
6,RELCAPITAL,2.1658,0.450246,252
7,DHANI,2.0672,0.569588,252
8,PNB,2.0505,0.647989,252
9,DLF,2.0005,0.398466,252
10,RPOWER,1.9716,0.472038,252
11,BANKINDIA,1.9636,0.524022,252
12,UNIONBANK,1.9425,0.514366,252
13,TV18BRDCST,1.9419,0.424335,252
14,AVANTIFEED,1.941,0.556482,252
15,RELINFRA,1.9136,0.380177,252
16,INDIANB,1.9064,0.455348,252
17,SUZLON,1.8761,0.40175,252
18,PCJEWELLER,1.8277,0.955753,252
19,CANBK,1.8211,0.532275,252
20,FCONSUMER,1.8141,0.520264,252
