Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIPOWER,2.8513,0.727365,252
2,RELCAPITAL,2.6697,0.747826,252
3,RPOWER,2.6427,0.896571,252
4,DHFL,2.4101,0.93641,252
5,IBULHSGFIN,2.3998,0.616564,252
6,EDELWEISS,2.3101,0.569254,252
7,DHANI,2.172,0.616781,252
8,RELINFRA,2.168,0.844256,252
9,UNIONBANK,2.144,0.479912,252
10,JINDALSTEL,2.1072,0.503642,252
11,BANKINDIA,2.0919,0.466187,252
12,LTF,2.0189,0.422557,252
13,CANBK,1.943,0.425219,252
14,INDIANB,1.9157,0.466968,252
15,M&MFIN,1.9066,0.400947,252
16,DLF,1.8451,0.450872,252
17,BANKBARODA,1.8364,0.438542,252
18,PEL,1.8133,0.440675,252
19,YESBANK,1.8051,0.745895,252
20,PNB,1.7962,0.418107,252
