Rank,Symbol,Beta,AnnualVolatility,Observations
1,ADANIPOWER,2.7253,0.713422,252
2,EDELWEISS,2.2907,0.539517,252
3,IBULHSGFIN,2.2124,0.54577,252
4,JINDALSTEL,2.174,0.501967,252
5,RELCAPITAL,2.105,0.569625,252
6,UNIONBANK,2.0933,0.46362,252
7,RPOWER,2.0877,0.708836,252
8,BANKINDIA,1.9991,0.463946,252
9,PCJEWELLER,1.989,1.085524,252
10,M&MFIN,1.9149,0.401846,252
11,LTF,1.8966,0.404663,252
12,INDIANB,1.8926,0.47634,252
13,DHANI,1.89,0.607292,252
14,DHFL,1.8889,0.825407,252
15,CANBK,1.8839,0.430174,252
16,SAIL,1.8422,0.418329,252
17,DLF,1.8251,0.434086,252
18,ESCORTS,1.7574,0.377923,252
19,JMFINANCIL,1.7458,0.451161,252
20,TV18BRDCST,1.7439,0.401032,252
