Rank,Symbol,Beta,AnnualVolatility,Observations
1,VEDL,2.0351,0.73632,252
2,INDUSINDBK,2.012,0.848058,252
3,JINDALSTEL,1.972,0.762452,252
4,CHOLAFIN,1.8396,0.687985,252
5,LTF,1.8127,0.61929,252
6,SHRIRAMFIN,1.8038,0.747972,252
7,BANDHANBNK,1.79,0.819373,252
8,IBULHSGFIN,1.7693,1.064312,252
9,M&MFIN,1.7421,0.64716,252
10,AXISBANK,1.7085,0.583996,252
11,SAIL,1.6855,0.610829,252
12,RBLBANK,1.6682,0.783712,252
13,MOTHERSON,1.654,0.679081,252
14,TMPV,1.6389,0.667885,252
15,BAJFINANCE,1.6348,0.584755,252
16,FEDERALBNK,1.6162,0.540157,252
17,ASHOKLEY,1.6038,0.66063,252
18,MANAPPURAM,1.5908,0.633525,252
19,CANBK,1.5596,0.550119,252
20,LICHSGFIN,1.5585,0.582205,252
