Rank,Symbol,Beta,AnnualVolatility,Observations
1,DLF,2.3241,0.482293,252
2,MANAPPURAM,2.2681,0.477765,252
3,JINDALSTEL,2.2019,0.471003,252
4,JMFINANCIL,2.1988,0.481888,252
5,INDIANB,2.0301,0.498942,252
6,ADANIPOWER,2.0081,0.488156,252
7,GMRAIRPORT,2.0025,0.462883,252
8,PNB,1.9716,0.596002,252
9,DHFL,1.913,0.383103,252
10,RCOM,1.862,0.550869,252
11,SYNDIBANK,1.8587,0.413891,252
12,UNIONBANK,1.8575,0.523022,252
13,BANKINDIA,1.8423,0.524153,252
14,BHARATFIN,1.8053,0.439857,252
15,RELINFRA,1.7826,0.341346,252
16,CENTURYTEX,1.7823,0.342601,252
17,LTF,1.7596,0.345827,252
18,SUNTV,1.7279,0.448833,252
19,SAIL,1.7146,0.376428,252
20,EDELWEISS,1.6732,0.464946,252
