Rank,Symbol,Beta,AnnualVolatility,Observations
1,INDUSINDBK,2.0584,0.897365,252
2,CHOLAFIN,1.9916,0.768767,252
3,BANDHANBNK,1.9662,0.835698,252
4,JINDALSTEL,1.8843,0.716351,252
5,SHRIRAMFIN,1.8669,0.801505,252
6,LTF,1.8318,0.621155,252
7,M&MFIN,1.8316,0.704849,252
8,AXISBANK,1.7915,0.646572,252
9,FEDERALBNK,1.7524,0.596385,252
10,BAJFINANCE,1.7326,0.627758,252
11,IBULHSGFIN,1.7062,0.889614,252
12,MOTHERSON,1.6746,0.679206,252
13,MANAPPURAM,1.6706,0.631454,252
14,HINDALCO,1.6603,0.595462,252
15,TMPV,1.6311,0.638977,252
16,SAIL,1.6214,0.638019,252
17,ASHOKLEY,1.6101,0.691054,252
18,BAJAJFINSV,1.6005,0.562916,252
19,RBLBANK,1.5962,0.718695,252
20,IDFCFIRSTB,1.5722,0.591925,252
