Rank,Symbol,Beta,AnnualVolatility,Observations
1,HINDPETRO,4.6858,1.314104,252
2,JPASSOCIAT,2.8413,0.620398,252
3,BANKINDIA,2.5237,0.558427,252
4,YESBANK,2.5017,0.604563,252
5,EMBDL,2.4992,0.572126,252
6,ORIENTBANK,2.4739,0.560528,252
7,UNIONBANK,2.4637,0.525863,252
8,63MOONS,2.4063,1.115941,252
9,JPPOWER,2.4034,0.719828,252
10,UNITECH,2.3908,0.548179,252
11,CANBK,2.2844,0.496537,252
12,IRB,2.2286,0.606605,252
13,UCOBANK,2.202,0.49753,252
14,DLF,2.1835,0.519727,252
15,JPINFRATEC,2.1006,0.531965,252
16,CENTURYTEX,2.0617,0.449114,252
17,PNB,2.0322,0.428253,252
18,RELINFRA,2.0255,0.444792,252
19,DENABANK,2.0087,0.420032,252
20,RELCAPITAL,2.0077,0.410402,252
