Rank,Symbol,Momentum,Volatility,Score
1,WELSPUNIND,2.408397,0.034761,69.2837
2,BAJAJHIND,3.594318,0.062563,57.4509
3,PANACEABIO,1.594805,0.029142,54.7257
4,AUROPHARMA,2.056742,0.039185,52.488
5,BAJAJFINSV,1.599556,0.032946,48.5512
6,KPIL,2.130538,0.046106,46.2097
7,JAICORPLTD,2.631445,0.057466,45.7917
8,BBTC,1.447807,0.035285,41.0319
9,63MOONS,2.073533,0.052424,39.5529
10,LICHSGFIN,1.81901,0.04629,39.2964
11,GOLDTECH,1.43,0.036399,39.2872
12,JPASSOCIAT,2.108333,0.053824,39.1709
13,VOLTAS,2.311565,0.060999,37.8953
14,THERMAX,1.584358,0.042668,37.1321
15,JSWSTEEL,2.361849,0.065697,35.9507
16,MAHLIFE,2.031657,0.060018,33.851
17,SOBHA,1.780685,0.052808,33.7203
18,VEDL,1.812281,0.056854,31.8763
19,NCC,1.921569,0.060454,31.7859
20,JPPOWER,2.154265,0.068783,31.3196
