Rank,Symbol,Momentum,Volatility,Score
1,MATRIXLABS,1.214565,0.042836,28.354
2,RECLTD,0.590232,0.022101,26.7059
3,SHREECEM,0.563809,0.022056,25.5631
4,BAJAJ-AUTO,0.75813,0.029722,25.5073
5,HEROMOTOCO,0.377186,0.015417,24.4659
6,MARUTI,0.504797,0.026718,18.8935
7,ULTRACEMCO,0.551224,0.029318,18.8016
8,OFSS,0.741928,0.041883,17.7142
9,BAJAJFINSV,0.573816,0.032492,17.6604
10,GRASIM,0.483595,0.029639,16.3161
11,DABUR,0.22244,0.013766,16.1592
12,ASHOKLEY,0.402985,0.025083,16.0662
13,GUJENERGY,0.3625,0.024092,15.0462
14,NLCINDIA,0.511811,0.039255,13.0381
15,IIFL,0.585398,0.046723,12.5291
16,GMRAIRPORT,0.503782,0.040503,12.4382
17,HINDZINC,0.392075,0.032362,12.1152
18,GSPL,0.395522,0.032689,12.0995
19,MPHASIS,0.287874,0.024869,11.5756
20,BALRAMCHIN,0.425824,0.038691,11.0058
