Rank,Symbol,Momentum
1,ATGL,0.963216
2,ADANIENSOL,0.853646
3,SAIL,0.829447
4,JSWENERGY,0.788585
5,LAURUSLABS,0.726593
6,JSWSTEEL,0.702312
7,TATASTEEL,0.621849
8,ISEC,0.572153
9,METROPOLIS,0.513693
10,ZYDUSLIFE,0.468349
11,AARTIIND,0.417837
12,SUMICHEM,0.41439
13,BALKRISIND,0.387682
14,IBULHSGFIN,0.386205
15,POLYCAB,0.375922
16,GODREJCP,0.371777
17,TATAELXSI,0.370294
18,UPL,0.357195
19,NATCOPHARM,0.356487
20,GLENMARK,0.34431
