Rank,Symbol,Momentum
1,FRETAIL,0.416084
2,IGL,0.373134
3,EDELWEISS,0.332341
4,JUBLFOOD,0.32604
5,OIL,0.325773
6,PCJEWELLER,0.318454
7,TATACONSUM,0.317963
8,BAJFINANCE,0.314286
9,DIVISLAB,0.311494
10,LTF,0.308518
11,HONAUT,0.308353
12,BAJAJHLDNG,0.300009
13,BHARATFIN,0.278497
14,HINDPETRO,0.26378
15,DHFL,0.261244
16,KRBL,0.255605
17,TRENT,0.248574
18,BAJAJFINSV,0.242261
19,SPARC,0.240052
20,VEDL,0.220588
