Rank,Symbol,Momentum
1,UNITDSPR,0.634104
2,WOCKPHARMA,0.385957
3,MOTHERSON,0.360925
4,M&MFIN,0.337606
5,TECHM,0.336978
6,ZEEL,0.31634
7,IPCALAB,0.315361
8,EIDPARRY,0.307692
9,MANAPPURAM,0.286408
10,BAJAJFINSV,0.284868
11,ULTRACEMCO,0.280444
12,SUNDARMFIN,0.271096
13,MUTHOOTFIN,0.270922
14,63MOONS,0.270714
15,DISHTV,0.267076
16,SHREECEM,0.257299
17,PIDILITIND,0.245243
18,GRASIM,0.237676
19,HINDUNILVR,0.236774
20,AUROPHARMA,0.22098
