Rank,Symbol,Momentum,Volatility,Score
1,RELINFRA,1.313548,0.037504,35.0238
2,VEDL,0.764615,0.027095,28.2194
3,ADANIENT,0.013934,0.00057,24.4255
4,UCOBANK,0.727092,0.031303,23.2278
5,RELIANCE,0.463415,0.021441,21.6133
6,RELIANCE,0.463415,0.021441,21.6133
7,JINDALSTEL,0.781063,0.036504,21.3964
8,JMFINANCIL,0.627824,0.029396,21.3576
9,TORNTPOWER,0.83464,0.042038,19.8545
10,JPPOWER,0.97166,0.050022,19.4247
11,RNRL,1.146953,0.059338,19.3292
12,MRPL,0.620813,0.036221,17.1397
13,SAIL,0.474582,0.027817,17.0609
14,HUBTOWN,0.541629,0.033849,16.0013
15,NLCINDIA,0.67926,0.044161,15.3814
16,NTPC,0.384889,0.025284,15.2226
17,KOTAKBANK,0.465789,0.030671,15.1866
18,RAMCOCEM,0.255146,0.017063,14.9528
19,GOLDTECH,0.417843,0.02801,14.9176
20,GRASIM,0.258275,0.017432,14.8165
