Rank,Symbol,Momentum,Volatility,Score
1,PAYTM,0.441797,0.020148,21.9281
2,FORTIS,0.304481,0.013939,21.8437
3,CUMMINSIND,0.235565,0.011577,20.3485
4,ETERNAL,0.397294,0.021705,18.3041
5,LTF,0.297408,0.0173,17.1915
6,BOSCHLTD,0.258199,0.016431,15.7138
7,GLAND,0.240274,0.015505,15.4963
8,GLENMARK,0.377489,0.024695,15.2862
9,MUTHOOTFIN,0.297986,0.020422,14.5914
10,UNOMINDA,0.256377,0.018106,14.16
11,JKCEMENT,0.266266,0.018885,14.099
12,HDFCAMC,0.202914,0.014502,13.9925
13,ABCAPITAL,0.29412,0.02206,13.3327
14,TORNTPHARM,0.165828,0.0125,13.2662
15,SWIGGY,0.301201,0.022826,13.1954
16,POLYCAB,0.182924,0.014429,12.6779
17,BLUESTARCO,0.237831,0.019204,12.3846
18,TVSMOTOR,0.17304,0.01463,11.828
19,HYUNDAI,0.265358,0.022853,11.6114
20,EICHERMOT,0.101413,0.008917,11.3734
