Rank,Symbol,Momentum,Volatility,Score
1,VAKRANGEE,0.439989,0.016894,26.0433
2,IDFCFIRSTB,0.384396,0.019965,19.2537
3,MRF,0.387031,0.025361,15.2607
4,SYNGENE,0.310182,0.023892,12.9828
5,JUBLPHARMA,0.491144,0.038745,12.6765
6,IGL,0.217456,0.019849,10.9552
7,GAIL,0.173351,0.016067,10.7896
8,BALKRISIND,0.297699,0.030289,9.8286
9,ONGC,0.171769,0.017532,9.7974
10,TATACOMM,0.25936,0.026694,9.7161
11,VEDL,0.300072,0.030904,9.7097
12,CANBK,0.243557,0.02511,9.6996
13,PNB,0.261827,0.029487,8.8793
14,OIL,0.097885,0.011272,8.6837
15,TVSMOTOR,0.160655,0.020289,7.9183
16,CAIRN,0.170255,0.023851,7.1382
17,DRREDDY,0.09946,0.014129,7.0393
18,LALPATHLAB,0.198816,0.029146,6.8213
19,BPCL,0.11559,0.017268,6.694
20,JYOTHYLAB,0.134534,0.020796,6.4692
