Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIGREEN,2.229673,0.812,0.00884791
2,ISEC,0.974922,1.2603,0.00386874
3,IDEA,0.861852,1.4336,0.00342005
4,ABBOTINDIA,0.861462,0.6484,0.0034185
5,DMART,0.747357,0.7714,0.0029657
6,ESCORTS,0.72903,1.5063,0.00289297
7,TATACONSUM,0.714599,1.0889,0.00283571
8,MUTHOOTFIN,0.687022,1.2887,0.00272628
9,BHARTIARTL,0.685018,0.7796,0.00271833
10,APLLTD,0.682257,0.8293,0.00270737
11,BERGEPAINT,0.673992,0.8124,0.00267457
12,IPCALAB,0.645744,0.3439,0.00256248
13,GUJENERGY,0.638687,0.8424,0.00253447
14,RELAXO,0.611029,0.7834,0.00242472
15,TRENT,0.600866,1.2187,0.00238439
16,TORNTPHARM,0.596513,0.4538,0.00236711
17,HDFCAMC,0.595962,1.0306,0.00236493
18,PIIND,0.587709,0.802,0.00233218
19,LALPATHLAB,0.57909,0.6337,0.00229797
20,COROMANDEL,0.558247,0.6891,0.00221527
