Rank,Symbol,Alpha,Beta,AlphaDaily
1,TTML,2.649945,0.8532,0.01051565
2,FLUOROCHEM,1.363466,1.2905,0.00541058
3,JSWENERGY,1.154241,1.0647,0.00458032
4,TRIDENT,1.143427,1.0622,0.00453741
5,TATAELXSI,1.005017,0.9218,0.00398816
6,CGPOWER,0.898412,0.9202,0.00356513
7,ADANIENSOL,0.870251,0.9426,0.00345338
8,ATGL,0.835199,1.0168,0.00331428
9,PERSISTENT,0.727306,0.9218,0.00288614
10,LINDEINDIA,0.688902,0.5728,0.00273374
11,SOLARINDS,0.6185,0.9633,0.00245437
12,SRF,0.590766,1.314,0.00234431
13,OIL,0.54668,0.6248,0.00216936
14,TATAPOWER,0.519609,1.8628,0.00206194
15,HAPPSTMNDS,0.510204,1.1206,0.00202462
16,GRINDWELL,0.493137,0.8788,0.00195689
17,INDHOTEL,0.479756,1.4818,0.0019038
18,IRCTC,0.472718,1.6934,0.00187586
19,BAJAJHLDNG,0.460246,0.7667,0.00182637
20,SCHAEFFLER,0.458112,0.6275,0.00181791
