Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIPOWER,1.295133,2.3211,0.00513942
2,INDIGO,0.911067,0.7533,0.00361534
3,MANAPPURAM,0.766552,1.3402,0.00304187
4,GODREJPROP,0.748837,1.2638,0.00297158
5,HDFCAMC,0.730512,0.9372,0.00289886
6,BAJFINANCE,0.705507,1.5723,0.00279963
7,BATAINDIA,0.690802,0.6947,0.00274128
8,MUTHOOTFIN,0.659221,1.3201,0.00261596
9,HINDPETRO,0.642687,1.6913,0.00255035
10,PIIND,0.6376,0.5238,0.00253016
11,SIEMENS,0.634341,1.2154,0.00251723
12,BPCL,0.617733,1.4893,0.00245132
13,TITAN,0.585861,0.7823,0.00232485
14,BERGEPAINT,0.518571,0.8644,0.00205782
15,ICICIBANK,0.513329,1.1875,0.00203702
16,SRF,0.506876,1.114,0.00201141
17,BAJAJFINSV,0.49331,1.3587,0.00195758
18,HDFCLIFE,0.476552,0.745,0.00189108
19,BEL,0.475235,1.3578,0.00188585
20,TRENT,0.451427,0.6504,0.00179138
