Rank,Symbol,Alpha,Beta,AlphaDaily
1,UBL,1.008939,1.0702,0.00400373
2,M&MFIN,0.769442,0.9315,0.00305334
3,TITAN,0.681446,1.0869,0.00270415
4,UCOBANK,0.660315,1.5009,0.0026203
5,DISHTV,0.650224,1.3994,0.00258025
6,COROMANDEL,0.63631,0.8211,0.00252504
7,BAJAJFINSV,0.562918,0.8208,0.0022338
8,TMPV,0.522223,1.5084,0.00207232
9,PETRONET,0.519188,0.9512,0.00206027
10,IOB,0.515375,1.3905,0.00204514
11,MOTHERSON,0.512012,0.7699,0.0020318
12,VIJAYABANK,0.504236,1.5151,0.00200094
13,INDIABULLS,0.464397,1.5398,0.00184285
14,CANBK,0.447388,1.1841,0.00177535
15,ALBK,0.439825,1.1312,0.00174534
16,INDUSINDBK,0.438201,1.2072,0.00173889
17,FEDERALBNK,0.413941,1.0901,0.00164262
18,SHRIRAMFIN,0.410167,0.6996,0.00162765
19,GSKCONS,0.392306,0.2765,0.00155677
20,GODREJCP,0.392191,0.2417,0.00155631
