Rank,Symbol,Alpha,Beta,AlphaDaily
1,HEG,0.875695,1.4176,0.00347498
2,ADANIPOWER,0.778953,2.745,0.00309108
3,LTTS,0.70107,0.9549,0.00278202
4,DHANI,0.684431,1.7589,0.00271599
5,LTM,0.663986,0.8917,0.00263486
6,BAJFINANCE,0.553614,1.2858,0.00219688
7,BATAINDIA,0.54874,0.9753,0.00217754
8,MINDTREE,0.543026,0.6418,0.00215486
9,DMART,0.504996,1.1502,0.00200395
10,JUBLFOOD,0.473175,0.8746,0.00187768
11,VBL,0.463596,0.4528,0.00183967
12,EIHOTEL,0.462812,0.8108,0.00183656
13,ASTRAL,0.451861,0.9026,0.0017931
14,DIVISLAB,0.451581,1.0361,0.00179199
15,TECHM,0.437515,0.3646,0.00173617
16,PFIZER,0.429206,0.5738,0.0017032
17,TCS,0.424491,0.0614,0.00168449
18,MPHASIS,0.404899,0.2565,0.00160674
19,3MINDIA,0.385438,1.0234,0.00152951
20,UBL,0.380465,1.0023,0.00150978
