Rank,Symbol,Alpha,Beta,AlphaDaily
1,MPHASIS,1.049163,0.7668,0.00416334
2,JINDALSTEL,0.854457,1.202,0.0033907
3,HINDPETRO,0.851126,1.2342,0.00337748
4,SHREECEM,0.84501,0.6432,0.00335321
5,VEDL,0.837398,1.3839,0.00332301
6,AUROPHARMA,0.821131,0.9179,0.00325846
7,OFSS,0.785802,0.8678,0.00311826
8,TORNTPOWER,0.780854,1.0176,0.00309863
9,GODREJCP,0.759576,0.3015,0.00301419
10,GTL,0.657836,0.222,0.00261046
11,KIRLOSBROS,0.655323,0.6853,0.00260049
12,BAJAJ-AUTO,0.655323,0.7488,0.00260049
13,LICHSGFIN,0.641963,1.2262,0.00254747
14,CENTRALBK,0.62654,1.0417,0.00248627
15,WELSPUNIND,0.621475,0.8418,0.00246617
16,PGHH,0.617226,0.3627,0.00244931
17,SANOFI,0.601366,0.449,0.00238637
18,PATNI,0.590693,0.8142,0.00234402
19,STLTECH,0.57441,1.5179,0.00227941
20,GSKCONS,0.508616,0.4941,0.00201832
