Rank,Symbol,Alpha,Beta,AlphaDaily
1,GVT&D,35.390273,36.2497,0.14043759
2,HINDPETRO,1.32881,1.349,0.00527306
3,LICHSGFIN,0.595602,1.0499,0.0023635
4,BPCL,0.575063,0.7751,0.00228199
5,HEROMOTOCO,0.567342,0.4058,0.00225136
6,BAJAJ-AUTO,0.556483,0.6318,0.00220827
7,ENGINERSIN,0.522585,0.8372,0.00207375
8,AUROPHARMA,0.489762,0.7402,0.0019435
9,SHREECEM,0.481388,0.4946,0.00191027
10,BANKBARODA,0.479588,0.785,0.00190313
11,UNIONBANK,0.447308,0.6478,0.00177503
12,SANOFI,0.442719,0.373,0.00175682
13,MPHASIS,0.389125,0.6093,0.00154415
14,JPPOWER,0.371159,1.1645,0.00147285
15,RECLTD,0.359922,0.7671,0.00142826
16,MFSL,0.339072,0.6587,0.00134552
17,PFC,0.324622,0.8124,0.00128818
18,COLPAL,0.31218,0.204,0.00123881
19,IOC,0.298147,0.4144,0.00118312
20,TORNTPOWER,0.296779,0.8378,0.00117769
