Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIENSOL,0.836139,1.601,0.00331801
2,JINDALSTEL,0.680403,2.3419,0.00270001
3,JUBLFOOD,0.602623,1.0077,0.00239136
4,GODREJPROP,0.587357,1.2908,0.00233078
5,TITAN,0.551512,1.2129,0.00218854
6,LTM,0.550669,0.4268,0.0021852
7,EDELWEISS,0.536215,1.4072,0.00212784
8,ENDURANCE,0.535395,0.5222,0.00212458
9,PCJEWELLER,0.524867,1.5824,0.00208281
10,EIHOTEL,0.50799,0.489,0.00201583
11,HEXAWARE,0.505387,0.7354,0.0020055
12,BALKRISIND,0.49547,0.7467,0.00196615
13,GRUH,0.477574,0.3207,0.00189513
14,LTTS,0.463918,0.1037,0.00184094
15,PHOENIXLTD,0.461568,0.5975,0.00183162
16,RAJESHEXPO,0.447117,0.248,0.00177427
17,MOTILALOFS,0.442606,1.3479,0.00175637
18,JMFINANCIL,0.426164,1.8415,0.00169113
19,VBL,0.417599,0.53,0.00165714
20,RELIANCE,0.393174,0.7028,0.00156021
