Rank,Symbol,Alpha,Beta,AlphaDaily
1,IRFC,0.851293,2.3368,0.00337815
2,ADANIGREEN,0.80467,1.3058,0.00319313
3,TRENT,0.790593,0.805,0.00313727
4,LUPIN,0.687811,0.531,0.00272941
5,PRESTIGE,0.665691,1.2197,0.00264163
6,AUROPHARMA,0.63724,0.5037,0.00252873
7,RVNL,0.616575,2.3036,0.00244673
8,ETERNAL,0.603909,1.255,0.00239647
9,TATAMTRDVR,0.598091,1.1966,0.00237338
10,VBL,0.579451,0.5071,0.00229941
11,FACT,0.57743,1.8427,0.00229139
12,MAXHEALTH,0.571825,0.3987,0.00226915
13,RECLTD,0.566917,2.0093,0.00224967
14,POLICYBZR,0.55905,0.8703,0.00221845
15,DIXON,0.542975,0.9231,0.00215466
16,OFSS,0.518251,1.032,0.00205655
17,MAZDOCK,0.503758,1.5828,0.00199904
18,BAJAJ-AUTO,0.502131,0.6803,0.00199258
19,ZYDUSLIFE,0.488715,0.5414,0.00193934
20,PFC,0.462133,1.9218,0.00183386
