Rank,Symbol,Alpha,Beta,AlphaDaily
1,RAJESHEXPO,1.418089,1.336,0.00562734
2,ASHOKLEY,0.801665,1.5243,0.00318121
3,AJANTPHARM,0.797562,0.8837,0.00316493
4,SPARC,0.720951,1.4078,0.00286092
5,BRITANNIA,0.703817,0.677,0.00279293
6,HINDPETRO,0.681863,1.4177,0.00270581
7,DISHTV,0.671711,1.3349,0.00266552
8,BAJFINANCE,0.61705,0.8474,0.00244861
9,ZFCVINDIA,0.614354,0.9111,0.00243791
10,IBULHSGFIN,0.596357,0.9998,0.0023665
11,GILLETTE,0.578891,0.6733,0.00229719
12,WOCKPHARMA,0.57033,1.8867,0.00226322
13,ESSAROIL,0.563282,0.7609,0.00223524
14,3MINDIA,0.557439,1.0668,0.00221206
15,HONAUT,0.548164,0.8496,0.00217525
16,AUROPHARMA,0.54203,1.2669,0.00215091
17,STAR,0.537163,1.6566,0.0021316
18,PAGEIND,0.530228,0.9194,0.00210408
19,BEL,0.52328,1.2511,0.00207651
20,BAJAJFINSV,0.515051,0.8409,0.00204385
