Rank,Symbol,Alpha,Beta,AlphaDaily
1,OPTOCIRCUI,1.300096,1.3069,0.00515911
2,UNITDSPR,1.087453,1.6078,0.00431529
3,FEL,1.063425,1.0183,0.00421994
4,HCC,0.951478,1.1153,0.0037757
5,DCMSHRIRAM,0.948367,0.8067,0.00376336
6,PANACEABIO,0.922963,1.0069,0.00366255
7,GAMMONIND,0.907331,0.8748,0.00360052
8,HLVLTD,0.871739,0.8698,0.00345928
9,PIDILITIND,0.820384,0.4657,0.00325549
10,VOLTAS,0.742749,0.7274,0.00294742
11,MFSL,0.718509,0.9725,0.00285123
12,GODFRYPHLP,0.618505,0.5584,0.00245439
13,BEML,0.612523,1.3544,0.00243065
14,GLENMARK,0.593967,1.2489,0.00235701
15,TRENT,0.59082,0.7848,0.00234452
16,GODREJCP,0.580039,0.3909,0.00230174
17,ABAN,0.574745,0.7697,0.00228074
18,BLUEDART,0.568356,0.3596,0.00225538
19,ABB,0.556531,0.5162,0.00220846
20,RELCAPITAL,0.550115,1.1698,0.002183
