Rank,Symbol,Alpha,Beta,AlphaDaily
1,IFCI,1.96103,0.7181,0.00778187
2,GOLDTECH,1.913522,0.4792,0.00759334
3,VEDL,1.352378,0.4856,0.00536658
4,RNRL,1.259824,0.4108,0.0049993
5,JINDALSTEL,1.257776,0.2966,0.00499117
6,EDUCOMP,1.19654,0.374,0.00474818
7,GMRAIRPORT,1.096549,0.5504,0.00435138
8,ABAN,0.973854,0.2709,0.0038645
9,DIVISLAB,0.935403,0.4984,0.00371192
10,UNITDSPR,0.92323,0.384,0.00366361
11,ROLTA,0.912276,0.2838,0.00362014
12,RELINFRA,0.889824,0.4292,0.00353105
13,KOTAKBANK,0.876249,0.3505,0.00347718
14,OPTOCIRCUI,0.866342,0.2076,0.00343786
15,PRAJIND,0.849638,0.4291,0.00337158
16,JSWSTEEL,0.813979,0.5582,0.00323008
17,GLENMARK,0.791147,0.3825,0.00313947
18,RELCAPITAL,0.788132,0.5941,0.00312751
19,SAIL,0.739225,0.5044,0.00293343
20,JPPOWER,0.715225,0.3841,0.0028382
